Material,Material Description,Movement Type,Movement Type Text,Posting Date,Special Stock,Quantity,Base Unit of Measure,Qty in unit of entry,Unit of Entry,Amt.in Loc.Cur.,Currency,Material Document,Material Doc.Item,Document Header Text,Reservation,Item number of reservation,Reference,Document Date,Storage Location,User Name,Purchase order,Item,Plant,Entry Date,Order,Cost Center,WBS Element
AE0009342,"KEY SHAFT;601017,KSB;PARALLEL,C45+C",101,GR stock in transit,6/25/2023,,2,EA,2,EA,0,PEN,5005140444,5,EG07-00000311,0,0,80112968,6/25/2023,Q001,AOP_OUTSYS,4502773180,210,C601,6/25/2023,,,
AE0009343,"BRNG;1470423,KSB;P04AX BASISBK,JL-ST",101,GR stock in transit,6/25/2023,,2,EA,2,EA,0,PEN,5005140436,1,EG07-00000313,0,0,80112968,6/25/2023,Q001,AOP_OUTSYS,4502773180,130,C601,6/25/2023,,,
AE0009351,"CARR;11051009,KSB;BEARING,55/140",101,GR stock in transit,6/25/2023,,1,EA,1,EA,0,PEN,5005140444,6,EG07-00000311,0,0,80112968,6/25/2023,Q001,AOP_OUTSYS,4502773180,220,C601,6/25/2023,,,
AE0009352,"SEAL RNG;360098,KSB;A,PTFE-GF 25,33MM",641,TF to stck in trans.,6/25/2023,,3,EA,3,EA,0,PEN,4908901311,2,,0,0,80112969,6/20/2023,,APALACIOS,4502773180,60,C601,6/26/2023,,,
AE0009352,"SEAL RNG;360098,KSB;A,PTFE-GF 25,33MM",641,TF to stck in trans.,6/25/2023,,-3,EA,-3,EA,0,PEN,4908901311,1,,0,0,80112969,6/20/2023,Q009,APALACIOS,4502773180,60,C601,6/26/2023,,,
AE0009393,"SEAL;290965,KSB;RADIAL LIP,45X60X7",101,GR stock in transit,6/25/2023,,2,EA,2,EA,0,PEN,5005140444,7,EG07-00000311,0,0,80112968,6/25/2023,Q001,AOP_OUTSYS,4502773180,230,C601,6/25/2023,,,
AE0009441,"INSLTN SLVG ELEC;MWTM 35/12-U,13-32MM",641,TF to stck in trans.,6/25/2023,,1,EA,1,EA,0,PEN,4908901311,18,,0,0,80112969,6/20/2023,,APALACIOS,4502773180,260,C601,6/26/2023,,,
AE0009441,"INSLTN SLVG ELEC;MWTM 35/12-U,13-32MM",641,TF to stck in trans.,6/25/2023,,4,EA,4,EA,0,PEN,4908901311,16,,0,0,80112969,6/20/2023,,APALACIOS,4502773180,250,C601,6/26/2023,,,
AE0009441,"INSLTN SLVG ELEC;MWTM 35/12-U,13-32MM",641,TF to stck in trans.,6/25/2023,,-4,EA,-4,EA,0,PEN,4908901311,15,,0,0,80112969,6/20/2023,Q009,APALACIOS,4502773180,250,C601,6/26/2023,,,
AE0009441,"INSLTN SLVG ELEC;MWTM 35/12-U,13-32MM",641,TF to stck in trans.,6/25/2023,,-1,EA,-1,EA,0,PEN,4908901311,17,,0,0,80112969,6/20/2023,Q009,APALACIOS,4502773180,260,C601,6/26/2023,,,
AE0009442,"PIPE NONMTLC;36IN,41.1IN,APROX. 5M,NEGRO",101,GR stock in transit,6/25/2023,,2,EA,2,EA,0,PEN,5005140183,1,001-027933,0,0,80114153,6/25/2023,Q001,RMONTES1,4502777601,10,C601,6/25/2023,,,
AE0009442,"PIPE NONMTLC;36IN,41.1IN,APROX. 5M,NEGRO",101,GR stock in transit,6/25/2023,,2,EA,2,EA,0,PEN,5005140182,1,001-027932,0,0,80113436,6/25/2023,Q001,RMONTES1,4502775908,10,C601,6/25/2023,,,
AE0009488,"CNCTR LUG;YA292TC58E16,BURNDY;TUBULAR",101,GR stock in transit,6/25/2023,,24,EA,24,EA,0,PEN,5005140439,1,0001-010505,0,0,80112968,6/25/2023,Q001,AOP_OUTSYS,4502773180,10,C601,6/25/2023,,,
AE0009501,"STRP TRMNL;YA29,BURNDY;120MM2",101,GR stock in transit,6/25/2023,,19,EA,19,EA,0,PEN,5005140439,2,0001-010505,0,0,80112968,6/25/2023,Q001,AOP_OUTSYS,4502773180,20,C601,6/25/2023,,,
AE0009715,"SEAL MECH;FU29255008,SULZER;TS1-L 2.125",101,GR stock in transit,6/25/2023,,1,EA,1,EA,0,PEN,5005140514,2,EG07-00003452,0,0,80112974,6/25/2023,Q001,AOP_OUTSYS,4502773216,20,C601,6/25/2023,,,
AE0009715,"SEAL MECH;FU29255008,SULZER;TS1-L 2.125",101,GR stock in transit,6/25/2023,,1,EA,1,EA,0,PEN,5005140514,1,EG07-00003452,0,0,80112974,6/25/2023,Q001,AOP_OUTSYS,4502773216,10,C601,6/25/2023,,,
AE0010106,"REAGENT;REACTIVO,ACIDO SULFURICO,98",201,GI for cost center,6/25/2023,,-3973,KG,-3973,KG,-5187.27,PEN,4908929671,1,Consumo 25.06.2023,12397703,1,,6/25/2023,Q004,JPACCARA,,0,C601,6/28/2023,,CQ16001112,
AE0010106,"REAGENT;REACTIVO,ACIDO SULFURICO,98",101,GR goods receipt,6/25/2023,,32000,KG,32000,KG,41327.68,PEN,5005140184,1,3540-TK-01,0,0,G010-00003330,6/25/2023,Q004,MPOVIS,4502687385,10,C601,6/25/2023,,,
AE0010971,"PIPE NONMTLC;48IN,53.8IN,5 M (APROX)",101,GR stock in transit,6/25/2023,,2,EA,2,EA,0,PEN,5005140183,2,001-027933,0,0,80114153,6/25/2023,Q001,RMONTES1,4502777601,20,C601,6/25/2023,,,
AE0010971,"PIPE NONMTLC;48IN,53.8IN,5 M (APROX)",101,GR stock in transit,6/25/2023,,2,EA,2,EA,0,PEN,5005140182,2,001-027932,0,0,80113436,6/25/2023,Q001,RMONTES1,4502775908,20,C601,6/25/2023,,,
AE0011097,"REAGENT;REACTIVO,SULFHIDRATO DE SODIO,42",101,GR for consgt stock,6/25/2023,K,29170,KG,29170,KG,0,PEN,5005140169,1,3530-TK-01,0,0,003-000518,6/25/2023,Q004,MPOVIS,4502754611,10,C601,6/25/2023,,,
AE0011097,"REAGENT;REACTIVO,SULFHIDRATO DE SODIO,42",101,GR for consgt stock,6/25/2023,K,31630,KG,31630,KG,0,PEN,5005140181,1,3530-TK-02,0,0,003-000520,6/25/2023,Q004,MPOVIS,4502754611,10,C601,6/25/2023,,,
AE0011097,"REAGENT;REACTIVO,SULFHIDRATO DE SODIO,42",101,GR for consgt stock,6/25/2023,K,31810,KG,31810,KG,0,PEN,5005140180,1,3530-TK-01,0,0,003-000519,6/25/2023,Q004,MPOVIS,4502754611,10,C601,6/25/2023,,,
AM2095191,"SEPRTR OIL;2911011703,EPIROC",261,GI order from consgt,6/25/2023,K,-1,EA,-1,EA,-3751.72,PEN,4908901008,1,,12351818,1,,6/25/2023,Q006,JOMOLINA1,,0,C601,6/25/2023,4008236987,,
AM2106351,"FLTR OIL;2658019753,EPIROC",261,GI order from consgt,6/25/2023,K,-1,EA,-1,EA,-413.68,PEN,4908900642,1,,12344781,1,,6/25/2023,Q006,JOMOLINA1,,0,C601,6/25/2023,4008229846,,
AM2119009,"NITRATE AMMONIUM,GRADE ANFO,99.4%,ENAEX",201,GI for cost center,6/25/2023,,-3750,KG,-3750,KG,-9640.54,PEN,4908900446,2,CONSUMO 23.06.23,12347929,2,,6/25/2023,Q003,JPACCARA,,0,C601,6/25/2023,,CQ32103331,
